Category|Manufacturer|Type|DeviceID|TestSignal|Firmware|
Graphic cards|ATI|BARTS|0x1002:0x6722|none|4.11.100|
Graphic cards|ATI|BARTS|0x1002:0x6722|none|10.01.100|
Graphic cards|ATI|BARTS|0x1002:0x6723|none|4.11.100|
Graphic cards|ATI|BARTS|0x1002:0x6723|none|10.01.100|
Graphic cards|ATI|BARTS|0x1002:0x6726|none|4.11.100|
Graphic cards|ATI|BARTS|0x1002:0x6726|none|10.01.100|
Graphic cards|ATI|BARTS|0x1002:0x6727|none|4.11.100|
Graphic cards|ATI|BARTS|0x1002:0x6727|none|10.01.100|
Graphic cards|ATI|BARTS|0x1002:0x6728|none|4.11.100|
Graphic cards|ATI|BARTS|0x1002:0x6728|none|10.01.100|
Graphic cards|ATI|BARTS|0x1002:0x6729|none|4.11.100|
Graphic cards|ATI|BARTS|0x1002:0x6729|none|10.01.100|
Graphic cards|ATI|CAICOS|0x1002:0x6760|none|4.11.100|
Graphic cards|ATI|CAICOS|0x1002:0x6760|none|10.01.100|
Graphic cards|ATI|CAICOS|0x1002:0x6761|none|4.11.100|
Graphic cards|ATI|CAICOS|0x1002:0x6761|none|10.01.100|
Graphic cards|ATI|CAICOS|0x1002:0x6762|none|4.11.100|
Graphic cards|ATI|CAICOS|0x1002:0x6762|none|10.01.100|
Graphic cards|ATI|CAICOS|0x1002:0x6763|none|4.11.100|
Graphic cards|ATI|CAICOS|0x1002:0x6763|none|10.01.100|
Graphic cards|ATI|CAICOS|0x1002:0x6764|none|4.11.100|
Graphic cards|ATI|CAICOS|0x1002:0x6764|none|10.01.100|
Graphic cards|ATI|CAICOS|0x1002:0x6765|none|4.11.100|
Graphic cards|ATI|CAICOS|0x1002:0x6765|none|10.01.100|
Graphic cards|ATI|CAICOS|0x1002:0x6766|none|4.11.100|
Graphic cards|ATI|CAICOS|0x1002:0x6766|none|10.01.100|
Graphic cards|ATI|CAICOS|0x1002:0x6767|none|4.11.100|
